ColorCombinationID,PrimaryColor,SecondaryColor,AccentColor,Mood,MoodIntensity,Description
548,Silver,White,Pink,Calm,8,Cool colors promote calmness and relaxation.
549,Brown,Brown,Beige,Bold,9,"Strong contrasts create a bold, intense impression."
550,Red,Red,Blue,Calm,8,Cool colors promote calmness and relaxation.
551,White,Pink,Black,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
552,White,Orange,Yellow,Bold,9,"Strong contrasts create a bold, intense impression."
553,Blue,Beige,Purple,Calm,8,Cool colors promote calmness and relaxation.
554,Yellow,Beige,Purple,Bold,9,"Strong contrasts create a bold, intense impression."
555,Pink,Light Blue,Orange,Bold,9,"Strong contrasts create a bold, intense impression."
556,Black,Pink,Green,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
557,Yellow,Orange,Grey,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
558,Purple,Orange,Black,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
559,Pink,Blue,Beige,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
560,Green,Dark Blue,Grey,Neutral,5,Neutral tones provide balance without strong mood influence.
561,Orange,Pink,Pink,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
562,Pink,Orange,Black,Bold,9,"Strong contrasts create a bold, intense impression."
563,Silver,Black,Beige,Bold,9,"Strong contrasts create a bold, intense impression."
564,Purple,Green,Grey,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
565,Purple,Dark Blue,Brown,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
566,Silver,Grey,Black,Calm,8,Cool colors promote calmness and relaxation.
567,Dark Blue,Green,Brown,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
568,White,Purple,Beige,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
569,Beige,Beige,Pink,Neutral,5,Neutral tones provide balance without strong mood influence.
570,Green,Yellow,Dark Blue,Energetic,7,Red is vibrant and associated with high energy.
571,Grey,Yellow,Grey,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
572,Silver,Dark Blue,Beige,Energetic,7,Red is vibrant and associated with high energy.
573,Green,Brown,Beige,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
574,Yellow,Dark Blue,Black,Energetic,7,Red is vibrant and associated with high energy.
575,Dark Blue,Grey,Dark Blue,Energetic,7,Red is vibrant and associated with high energy.
576,Light Blue,Dark Blue,Pink,Bold,9,"Strong contrasts create a bold, intense impression."
577,Brown,Green,Beige,Neutral,5,Neutral tones provide balance without strong mood influence.
578,Dark Blue,Orange,Red,Neutral,5,Neutral tones provide balance without strong mood influence.
579,Black,Beige,Purple,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
580,White,Grey,Pink,Bold,9,"Strong contrasts create a bold, intense impression."
581,Green,Yellow,Purple,Happy,9,Bright colors like yellow are often linked to happiness.
582,Dark Blue,Yellow,Light Blue,Neutral,5,Neutral tones provide balance without strong mood influence.
583,Yellow,Black,Light Blue,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
584,Red,White,Green,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
585,Red,White,Blue,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
586,Beige,Pink,Beige,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
587,Red,Orange,Grey,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
588,Brown,Blue,Blue,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
589,Red,Red,Brown,Happy,9,Bright colors like yellow are often linked to happiness.
590,Red,Blue,White,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
591,Orange,Orange,White,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
592,Grey,Black,Red,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
593,Light Blue,Grey,Silver,Neutral,5,Neutral tones provide balance without strong mood influence.
594,Green,Red,Yellow,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
595,Yellow,Black,Yellow,Energetic,7,Red is vibrant and associated with high energy.
596,Dark Blue,Black,Black,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
597,Orange,Silver,Brown,Happy,9,Bright colors like yellow are often linked to happiness.
598,Dark Blue,Brown,Orange,Bold,9,"Strong contrasts create a bold, intense impression."
599,Light Blue,Dark Blue,Purple,Calm,8,Cool colors promote calmness and relaxation.
600,Red,Yellow,Purple,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
601,Light Blue,Black,Black,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
602,Orange,Silver,Beige,Happy,9,Bright colors like yellow are often linked to happiness.
603,Pink,Light Blue,Pink,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
604,Light Blue,Green,Blue,Energetic,7,Red is vibrant and associated with high energy.
605,Yellow,Blue,Purple,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
606,White,White,Yellow,Happy,9,Bright colors like yellow are often linked to happiness.
607,Beige,Yellow,Yellow,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
608,Silver,White,Black,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
609,Grey,Black,Brown,Happy,9,Bright colors like yellow are often linked to happiness.
610,Blue,Blue,Beige,Neutral,5,Neutral tones provide balance without strong mood influence.
611,Silver,Yellow,Silver,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
612,Purple,Orange,White,Neutral,5,Neutral tones provide balance without strong mood influence.
613,Purple,Black,Pink,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
614,Purple,Red,Brown,Calm,8,Cool colors promote calmness and relaxation.
615,Grey,Black,Purple,Neutral,5,Neutral tones provide balance without strong mood influence.
616,Green,Green,Orange,Happy,9,Bright colors like yellow are often linked to happiness.
617,Black,Beige,Orange,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
618,White,Grey,Red,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
619,Red,Green,Brown,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
620,Purple,Black,Beige,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
621,Black,Grey,Dark Blue,Calm,8,Cool colors promote calmness and relaxation.
622,Beige,Grey,Green,Bold,9,"Strong contrasts create a bold, intense impression."
623,Blue,White,Red,Bold,9,"Strong contrasts create a bold, intense impression."
624,Red,Pink,Grey,Energetic,7,Red is vibrant and associated with high energy.
625,Brown,Blue,Green,Neutral,5,Neutral tones provide balance without strong mood influence.
626,Blue,White,Pink,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
627,Black,Beige,Grey,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
628,Yellow,Orange,Grey,Bold,9,"Strong contrasts create a bold, intense impression."
629,Yellow,Light Blue,Grey,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
630,Red,Dark Blue,Blue,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
631,Black,Purple,Grey,Calm,8,Cool colors promote calmness and relaxation.
632,White,Brown,Black,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
633,Dark Blue,Red,Silver,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
634,White,Blue,Light Blue,Neutral,5,Neutral tones provide balance without strong mood influence.
635,Blue,Silver,Grey,Calm,8,Cool colors promote calmness and relaxation.
636,Brown,Orange,Yellow,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
637,Brown,White,Yellow,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
638,Grey,Black,Blue,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
639,Red,Brown,Yellow,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
640,Black,Orange,Purple,Neutral,5,Neutral tones provide balance without strong mood influence.
641,Red,Red,Beige,Energetic,7,Red is vibrant and associated with high energy.
642,Red,Light Blue,Green,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
643,White,Pink,Blue,Happy,9,Bright colors like yellow are often linked to happiness.
644,White,Brown,Purple,Happy,9,Bright colors like yellow are often linked to happiness.
645,Yellow,White,Grey,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
646,Beige,Orange,Dark Blue,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
647,Grey,Red,Dark Blue,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
648,Green,Black,Light Blue,Happy,9,Bright colors like yellow are often linked to happiness.
649,Beige,Light Blue,Red,Calm,8,Cool colors promote calmness and relaxation.
650,Blue,Red,White,Energetic,7,Red is vibrant and associated with high energy.
651,Black,Brown,Blue,Bold,9,"Strong contrasts create a bold, intense impression."
652,Light Blue,Black,Yellow,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
653,Pink,Blue,Black,Happy,9,Bright colors like yellow are often linked to happiness.
654,Silver,Light Blue,White,Energetic,7,Red is vibrant and associated with high energy.
655,Yellow,Grey,Purple,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
656,Brown,Light Blue,Dark Blue,Happy,9,Bright colors like yellow are often linked to happiness.
657,Pink,Blue,Beige,Happy,9,Bright colors like yellow are often linked to happiness.
658,Green,Dark Blue,Beige,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
659,Purple,Brown,Silver,Energetic,7,Red is vibrant and associated with high energy.
660,Brown,Blue,Purple,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
661,Brown,Yellow,Silver,Calm,8,Cool colors promote calmness and relaxation.
662,Light Blue,Beige,Light Blue,Neutral,5,Neutral tones provide balance without strong mood influence.
663,Dark Blue,Black,White,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
664,Pink,Pink,Orange,Happy,9,Bright colors like yellow are often linked to happiness.
665,Brown,Silver,Brown,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
666,Orange,Yellow,Dark Blue,Happy,9,Bright colors like yellow are often linked to happiness.
667,Green,Red,Pink,Calm,8,Cool colors promote calmness and relaxation.
668,Blue,Black,Light Blue,Energetic,7,Red is vibrant and associated with high energy.
669,Yellow,Silver,Silver,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
670,Light Blue,Beige,Blue,Energetic,7,Red is vibrant and associated with high energy.
671,Pink,Grey,Brown,Calm,8,Cool colors promote calmness and relaxation.
672,Light Blue,Brown,Black,Bold,9,"Strong contrasts create a bold, intense impression."
673,Beige,Orange,Dark Blue,Calm,8,Cool colors promote calmness and relaxation.
674,Red,Green,Blue,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
675,Green,White,Light Blue,Calm,8,Cool colors promote calmness and relaxation.
676,Beige,Silver,Black,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
677,Pink,Pink,Silver,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
678,White,Brown,Pink,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
679,Orange,Red,Purple,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
680,Dark Blue,Brown,Grey,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
681,Brown,Beige,Grey,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
682,Silver,Brown,Green,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
683,Yellow,Pink,Grey,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
684,Beige,Purple,Beige,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
685,Silver,Black,Grey,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
686,Pink,Beige,Brown,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
687,Brown,Brown,Beige,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
688,Blue,Beige,Black,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
689,Brown,Silver,Grey,Calm,8,Cool colors promote calmness and relaxation.
690,Pink,Yellow,Blue,Neutral,5,Neutral tones provide balance without strong mood influence.
691,Purple,Light Blue,Grey,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
692,Brown,Green,Red,Neutral,5,Neutral tones provide balance without strong mood influence.
693,Beige,Red,Light Blue,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
694,Light Blue,Yellow,Green,Happy,9,Bright colors like yellow are often linked to happiness.
695,Yellow,Dark Blue,Grey,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
696,Silver,Orange,Orange,Calm,8,Cool colors promote calmness and relaxation.
697,Green,Green,Light Blue,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
698,Blue,Red,Silver,Energetic,7,Red is vibrant and associated with high energy.
699,Brown,Grey,Green,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
700,Dark Blue,Grey,Grey,Neutral,5,Neutral tones provide balance without strong mood influence.
701,Black,Black,Grey,Neutral,5,Neutral tones provide balance without strong mood influence.
702,Yellow,Beige,Grey,Bold,9,"Strong contrasts create a bold, intense impression."
703,Grey,Brown,Green,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
704,White,Blue,Light Blue,Calm,8,Cool colors promote calmness and relaxation.
705,Purple,Pink,Light Blue,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
706,Purple,White,Orange,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
707,Red,Dark Blue,Purple,Bold,9,"Strong contrasts create a bold, intense impression."
708,Light Blue,Purple,Silver,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
709,Brown,Orange,Blue,Bold,9,"Strong contrasts create a bold, intense impression."
710,Brown,Silver,Pink,Calm,8,Cool colors promote calmness and relaxation.
711,Light Blue,Silver,Beige,Calm,8,Cool colors promote calmness and relaxation.
712,Blue,Green,Yellow,Neutral,5,Neutral tones provide balance without strong mood influence.
713,Blue,Light Blue,Yellow,Happy,9,Bright colors like yellow are often linked to happiness.
714,Yellow,Purple,Light Blue,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
715,Light Blue,Black,Silver,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
716,Beige,Black,Black,Energetic,7,Red is vibrant and associated with high energy.
717,Orange,Green,Dark Blue,Happy,9,Bright colors like yellow are often linked to happiness.
718,Pink,Light Blue,Light Blue,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
719,Orange,Dark Blue,Blue,Energetic,7,Red is vibrant and associated with high energy.
720,Green,Grey,Purple,Calm,8,Cool colors promote calmness and relaxation.
721,Light Blue,Light Blue,Beige,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
722,Beige,Dark Blue,Yellow,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
723,Orange,Blue,Pink,Calm,8,Cool colors promote calmness and relaxation.
724,Red,Purple,Brown,Bold,9,"Strong contrasts create a bold, intense impression."
725,Purple,Silver,Purple,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
726,Green,Purple,Red,Calm,8,Cool colors promote calmness and relaxation.
727,Blue,Blue,Pink,Bold,9,"Strong contrasts create a bold, intense impression."
728,Beige,Blue,Yellow,Happy,9,Bright colors like yellow are often linked to happiness.
729,Grey,Purple,Grey,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
730,Grey,Light Blue,Light Blue,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
731,Light Blue,Beige,Dark Blue,Happy,9,Bright colors like yellow are often linked to happiness.
732,White,Dark Blue,Pink,Happy,9,Bright colors like yellow are often linked to happiness.
733,White,Pink,Yellow,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
734,Grey,Red,Dark Blue,Neutral,5,Neutral tones provide balance without strong mood influence.
735,Purple,Black,Blue,Happy,9,Bright colors like yellow are often linked to happiness.
736,Brown,Silver,Brown,Happy,9,Bright colors like yellow are often linked to happiness.
737,Grey,Yellow,Black,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
738,White,Dark Blue,White,Happy,9,Bright colors like yellow are often linked to happiness.
739,Blue,Brown,Blue,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
740,Light Blue,Pink,Light Blue,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
741,Orange,Yellow,Grey,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
742,Beige,Light Blue,Light Blue,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
743,Dark Blue,Silver,Red,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
744,White,Grey,Pink,Bold,9,"Strong contrasts create a bold, intense impression."
745,Black,Grey,Pink,Neutral,5,Neutral tones provide balance without strong mood influence.
746,Brown,Light Blue,Yellow,Energetic,7,Red is vibrant and associated with high energy.
747,Purple,Green,White,Neutral,5,Neutral tones provide balance without strong mood influence.
748,Green,White,Blue,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
749,Pink,Silver,Yellow,Happy,9,Bright colors like yellow are often linked to happiness.
750,White,Red,Silver,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
751,White,Yellow,Silver,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
752,Red,Blue,Brown,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
753,Yellow,Light Blue,Yellow,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
754,Blue,Pink,Pink,Bold,9,"Strong contrasts create a bold, intense impression."
755,Yellow,Yellow,Orange,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
756,Pink,Brown,Yellow,Calm,8,Cool colors promote calmness and relaxation.
757,Black,Beige,Grey,Calm,8,Cool colors promote calmness and relaxation.
758,White,Orange,Orange,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
759,Silver,Yellow,Dark Blue,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
760,Dark Blue,Light Blue,Light Blue,Neutral,5,Neutral tones provide balance without strong mood influence.
761,Grey,Yellow,Light Blue,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
762,Red,Grey,Blue,Neutral,5,Neutral tones provide balance without strong mood influence.
763,Yellow,Green,Blue,Neutral,5,Neutral tones provide balance without strong mood influence.
764,Light Blue,Red,Orange,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
765,Brown,Orange,Purple,Neutral,5,Neutral tones provide balance without strong mood influence.
766,Black,Green,Green,Happy,9,Bright colors like yellow are often linked to happiness.
767,Green,Grey,Yellow,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
768,Grey,White,Brown,Calm,8,Cool colors promote calmness and relaxation.
769,Light Blue,Light Blue,Beige,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
770,Brown,Light Blue,Light Blue,Happy,9,Bright colors like yellow are often linked to happiness.
771,Beige,Red,Purple,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
772,Dark Blue,Orange,Beige,Neutral,5,Neutral tones provide balance without strong mood influence.
773,Silver,Dark Blue,Purple,Happy,9,Bright colors like yellow are often linked to happiness.
774,Blue,Grey,Purple,Happy,9,Bright colors like yellow are often linked to happiness.
775,Yellow,Dark Blue,Silver,Bold,9,"Strong contrasts create a bold, intense impression."
776,Beige,White,Purple,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
777,Blue,Light Blue,White,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
778,Beige,Pink,Dark Blue,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
779,Light Blue,Silver,Dark Blue,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
780,Blue,Purple,Dark Blue,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
781,Light Blue,Grey,Purple,Neutral,5,Neutral tones provide balance without strong mood influence.
782,Green,Brown,Orange,Bold,9,"Strong contrasts create a bold, intense impression."
783,Red,Yellow,Grey,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
784,Orange,Grey,Green,Energetic,7,Red is vibrant and associated with high energy.
785,Brown,Grey,Black,Energetic,7,Red is vibrant and associated with high energy.
786,White,Brown,Blue,Calm,8,Cool colors promote calmness and relaxation.
787,Purple,Light Blue,Red,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
788,Dark Blue,Pink,Grey,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
789,Grey,Blue,Beige,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
790,Grey,Beige,Beige,Bold,9,"Strong contrasts create a bold, intense impression."
791,Blue,Blue,Grey,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
792,White,Dark Blue,Green,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
793,Pink,Blue,Green,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
794,Black,Silver,Purple,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
795,Brown,Brown,Light Blue,Bold,9,"Strong contrasts create a bold, intense impression."
796,Green,Yellow,Yellow,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
797,Dark Blue,Red,Green,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
798,Red,Light Blue,Pink,Bold,9,"Strong contrasts create a bold, intense impression."
799,Orange,Brown,Beige,Bold,9,"Strong contrasts create a bold, intense impression."
800,White,Grey,Yellow,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
801,Red,Brown,Silver,Neutral,5,Neutral tones provide balance without strong mood influence.
802,Silver,Purple,Light Blue,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
803,Green,White,Beige,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
804,Grey,Silver,Purple,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
805,Blue,White,Grey,Calm,8,Cool colors promote calmness and relaxation.
806,Silver,Grey,Dark Blue,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
807,Black,Black,Yellow,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
808,Red,Grey,Purple,Bold,9,"Strong contrasts create a bold, intense impression."
809,Light Blue,Silver,Dark Blue,Happy,9,Bright colors like yellow are often linked to happiness.
810,Red,Grey,White,Energetic,7,Red is vibrant and associated with high energy.
811,Orange,Black,Blue,Bold,9,"Strong contrasts create a bold, intense impression."
812,Light Blue,Orange,Beige,Energetic,7,Red is vibrant and associated with high energy.
813,Dark Blue,Pink,Blue,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
814,Grey,Grey,Dark Blue,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
815,Red,Orange,Green,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
816,White,Yellow,Purple,Happy,9,Bright colors like yellow are often linked to happiness.
817,Black,Pink,Grey,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
818,White,Dark Blue,Green,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
819,Pink,Red,Silver,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
820,Dark Blue,Silver,Orange,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
821,Pink,White,Red,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
822,Red,Silver,Silver,Bold,9,"Strong contrasts create a bold, intense impression."
823,Blue,Yellow,Red,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
824,Beige,Light Blue,Grey,Energetic,7,Red is vibrant and associated with high energy.
825,White,White,Grey,Calm,8,Cool colors promote calmness and relaxation.
826,Green,Silver,Brown,Bold,9,"Strong contrasts create a bold, intense impression."
827,Brown,Black,Light Blue,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
828,Yellow,Grey,Beige,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
829,Green,Beige,Dark Blue,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
830,Dark Blue,Light Blue,Blue,Happy,9,Bright colors like yellow are often linked to happiness.
831,Blue,Black,Silver,Neutral,5,Neutral tones provide balance without strong mood influence.
832,Pink,Brown,Black,Happy,9,Bright colors like yellow are often linked to happiness.
833,Red,Grey,Orange,Neutral,5,Neutral tones provide balance without strong mood influence.
834,Brown,Purple,Orange,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
835,Green,Purple,Blue,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
836,White,Orange,Black,Bold,9,"Strong contrasts create a bold, intense impression."
837,Beige,Brown,Grey,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
838,Blue,Silver,Yellow,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
839,Grey,Grey,Silver,Bold,9,"Strong contrasts create a bold, intense impression."
840,Blue,Purple,Silver,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
841,Yellow,Dark Blue,Pink,Bold,9,"Strong contrasts create a bold, intense impression."
842,Brown,Purple,Beige,Energetic,7,Red is vibrant and associated with high energy.
843,Brown,Black,Grey,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
844,Light Blue,Light Blue,Silver,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
845,Beige,Beige,Brown,Neutral,5,Neutral tones provide balance without strong mood influence.
846,Silver,Purple,Beige,Neutral,5,Neutral tones provide balance without strong mood influence.
847,Dark Blue,Grey,Red,Bold,9,"Strong contrasts create a bold, intense impression."
848,Orange,Silver,Blue,Happy,9,Bright colors like yellow are often linked to happiness.
849,Silver,Orange,Beige,Bold,9,"Strong contrasts create a bold, intense impression."
850,Light Blue,Purple,Silver,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
851,Dark Blue,Silver,Purple,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
852,Red,Red,Blue,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
853,Green,Pink,Light Blue,Calm,8,Cool colors promote calmness and relaxation.
854,Pink,Orange,White,Relaxed,6,"Earthy tones often evoke a relaxed, natural feeling."
855,Light Blue,Dark Blue,Blue,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
856,Yellow,Yellow,Red,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
857,Beige,Yellow,Dark Blue,Peaceful,7,Soft blues and silvers are calming and promote peace of mind.
858,Silver,Blue,Brown,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
859,Grey,Pink,Orange,Neutral,5,Neutral tones provide balance without strong mood influence.
860,Red,Red,Blue,Happy,9,Bright colors like yellow are often linked to happiness.
861,Dark Blue,Yellow,Blue,Bold,9,"Strong contrasts create a bold, intense impression."
862,Light Blue,White,Silver,Energetic,7,Red is vibrant and associated with high energy.
863,Yellow,Pink,Grey,Happy,9,Bright colors like yellow are often linked to happiness.
864,Beige,Orange,Beige,Calm,8,Cool colors promote calmness and relaxation.
865,Beige,Beige,Black,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
866,Beige,Blue,Light Blue,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
867,Red,Light Blue,Red,Luxurious,9,Dark purple with gold is associated with luxury and opulence.
868,Blue,Purple,Orange,Happy,9,Bright colors like yellow are often linked to happiness.
869,Beige,Yellow,Brown,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
870,Beige,Pink,Pink,Bold,9,"Strong contrasts create a bold, intense impression."
871,Brown,Pink,Dark Blue,Loving,8,"Soft colors like pink often evoke a warm, affectionate mood."
872,Purple,Light Blue,Dark Blue,Calm,8,Cool colors promote calmness and relaxation.
873,Grey,Yellow,Purple,Bold,9,"Strong contrasts create a bold, intense impression."
874,Green,Orange,Yellow,Happy,9,Bright colors like yellow are often linked to happiness.
875,Pink,Grey,White,Neutral,5,Neutral tones provide balance without strong mood influence.
876,Beige,Yellow,Brown,Energetic,7,Red is vibrant and associated with high energy.
877,Brown,Brown,Light Blue,Neutral,5,Neutral tones provide balance without strong mood influence.
878,Dark Blue,Dark Blue,Purple,Calm,8,Cool colors promote calmness and relaxation.
879,Red,Black,Blue,Bold,9,"Strong contrasts create a bold, intense impression."
880,Beige,Purple,Light Blue,Neutral,5,Neutral tones provide balance without strong mood influence.
881,Purple,Purple,Grey,Excited,8,"Warm, bright colors evoke excitement and enthusiasm."
